short_name,Temperature
Lille,5 °C
Saint-Jean-de-Luz,11 °C
Bilbao,11 °C
Saint-Sébastien,6 °C
Capbreton - Hossegor,
Tours,7 °C
Bayonne,11 °C
Hendaye,11 °C
Dax,8 °C
Orléans,7 °C
Castets,8 °C
Biarritz - Aéroport,
Poitiers,6 °C
Avignon - Le Pontet,
Toulon,13 °C
Nîmes,11 °C
Annecy,7 °C
Cannes,9 °C
Montélimar,25 °C
Valence - Centre,6 °C
Rotterdam,7 °C
Le Havre,6 °C
Niort,8 °C
Rennes,7 °C
Le Mans,8 °C
Limoges,8 °C
Toulouse,6 °C
Perpignan,10 °C
Châteauroux,7 °C
Düsseldorf,7 °C
Essen,7 °C
Cologne - Aéroport,
Liège,6 °C
Bourges,8 °C
Montpellier,14 °C
Saint-Etienne,5 °C
Narbonne - Croix Sud,-32 °C
Clermont-Ferrand,7 °C
La Haye,7 °C
Reims,8 °C
Chalon-sur-Saône,-32 °C
Sallanches - Gare,
Caen,7 °C
Angers,7 °C
Epinal,8 °C
Bâle,6 °C
Zürich,1 °C
Lugano,6 °C
Luxembourg,5 °C
Laval,-18 °C
Sedan,16 °C
Charleville-Mézières,31 °C
Valladolid,
Vannes,8 °C
Burgos,
Coimbra,
Vilar Formoso,
Salamanca,
Viseu,
Ciudad Rodrigo,6 °C
Fatima,3 °C
Sintra,6 °C
Colmar,26 °C
Bâle Mulhouse Fribourg - Aéroport,2 °C
Florence,7 °C
Bologne,9 °C
Dunkerque,-18 °C
Verona,7 °C
Bergame,9 °C
Ljubljana,3 °C
Courmayeur,
Trieste,8 °C
Aoste,7 °C
Zagreb,6 °C
Chambéry,7 °C
Carcassonne,7 °C
Crolles - Le Rafour,
Gap,19 °C
Voiron - Champfeuillet,
Briançon,10 °C
Lausanne,6 °C
Montdauphin - Guillestre,
Cluses - La Maladière,
Saint-Gaudens,6 °C
Lannemezan,7 °C
Lourdes,19 °C
Montauban Sud,6 °C
Anvers - Rooseveltplaats,
Tarbes,7 °C
Aix-en-Provence,14 °C
Brive-la-Gaillarde,6 °C
Pau - Technopôle Héliparc,8 °C
Utrecht,6 °C
Béziers,7 °C
Périgueux,7 °C
Cluses,7 °C
Antibes,10 °C
Anvers - Luchtbal,
Aix-la-Chapelle - Henricistraße,11 °C
Mannheim,7 °C
Saarbrücken,7 °C
Mulhouse,6 °C
Brest - Gare Routière,7 °C
Brescia,6 °C
Annemasse,7 °C
Stuttgart - Aéroport,
Ulm,0 °C
Strasbourg,6 °C
La Rochelle,8 °C
Blois,6 °C
Dijon,7 °C
Auxerre,6 °C
Karlsruhe,7 °C
Porto - TIC Campanhã,29 °C
A Coruña,11 °C
Oviedo,9 °C
Braga,10 °C
Vigo,8 °C
Saint-Jacques-De-Compostelle,2 °C
Les Deux Alpes,-17 °C
Dieppe,-15 °C
Aime - La Plagne,
Tignes - Val Claret,
Bourg-Saint-Maurice,6 °C
Moutiers,7 °C
Saragosse,
Differdange,5 °C
Esch-sur-Alzette,-32 °C
Avranches,7 °C
Barcelone - Aéroport Prat T1,11 °C
Budapest - Népliget,
Bratislava,6 °C
Budapest - Kelenföld,
Salzburg P&R South,4 °C
Vienne,7 °C
Besançon - Pôle d'Echanges Viotte,
Guingamp,7 °C
Saint-Brieuc,6 °C
Morlaix,8 °C
Heidelberg,7 °C
Prague - Florenc,
Nuremberg,3 °C
Saint-Nazaire,6 °C
Amiens,6 °C
Santarem,26 °C
Vitoria,30 °C
Cascais,12 °C
Guarda,
Castelo Branco,10 °C
Bourg-en-Bresse,7 °C
Bellegarde - Vouvray,
Breda,6 °C
Sanremo,8 °C
Fréjus - Saint-Raphaël,
Auray,-26 °C
Bruxelles - Nord,
Gérone,
Rochefort,4 °C
Royan,9 °C
Valença,27 °C
Porto - Aéroport,29 °C
Ponte de Lima,10 °C
Pilsen - CAN Husova,
Cavalaire-sur-Mer,-32 °C
Le Lavandou,13 °C
Hyères - Place Louis Versin,30 °C
Port Grimaud,21 °C
Bandol,6 °C
Sainte-Maxime,-7 °C
Saint-Malo,6 °C
Mont-Saint-Michel,6 °C
Parc Astérix,3 °C
Bruges,6 °C
Naples,11 °C
Rome - Tiburtina,6 °C
Sevilla Plaza de Armas,3 °C
Faro,13 °C
Castellon,
Valencia - Bus Station,-7 °C
Tarragone,
Étretat,6 °C
Fécamp,6 °C
Mirandela,8 °C
Amarante,17 °C
Vila Real,7 °C
